"[run number]","template","pherosim-amount","pherotimer","density","rock-stigmergy","pheromone-stigmergy","pheromone-sim-stigmergy","number","template-radius","template-width","pheromone-following","pheromone-drop-concentration","ant-stigmergy","[step]","entrance / amount-of-flood-fills"
"100","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.9357798165137615"
"99","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.9418960244648318"
"101","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"102","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9755351681957186"
"103","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"104","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"105","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"107","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"106","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9928644240570846"
"109","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9979612640163099"
"110","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9938837920489296"
"111","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9989806320081549"
"112","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9959225280326198"
"108","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9734964322120285"
"113","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9439347604485219"
"114","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"115","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9796126401630989"
"116","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9072375127420998"
"117","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"118","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"119","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9989806320081549"
"120","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9347604485219164"
"121","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"122","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9582059123343527"
"123","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9989806320081549"
"125","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9969418960244648"
"126","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9347604485219164"
"127","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"128","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"129","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9887869520897044"
"124","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"130","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9949031600407747"
"132","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9439347604485219"
"133","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.963302752293578"
"131","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"134","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"135","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"136","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"137","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9949031600407747"
"138","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"139","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"140","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9755351681957186"
"141","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9959225280326198"
"142","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9663608562691132"
"144","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9734964322120285"
"143","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"146","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9928644240570846"
"145","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9969418960244648"
"147","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"148","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9836901121304791"
"149","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9806320081549439"
"150","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","0.9724770642201835"
"151","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9928644240570846"
"152","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"154","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9826707441386341"
"153","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
